brand,name,type,country,ingredient_list,ingredient_count,claimed_concerns,positive_concerns,negative_concerns,condition_concerns,positive_count,negative_count,condition_count,has_fragrance,has_drying_alcohol,has_irritants,has_vitamin_c,has_hyaluronic_acid,has_niacinamide,has_ceramides,has_aha,has_bha,has_retinoids,has_peptides,has_antioxidants,antioxidant_list,humectant_list,emollient_list,occlusive_list,peptide_list,retinoid_list,exfoliant_list,plant_extract_list,absorbent_list,film_forming_list,texture_enhancer_list,fragrance_ingredients,irritant_ingredients,drying_alcohol_ingredients
mCaffeine,Latte Coffee Face Moisturizer with Shea Butter - Ceramide - Almond Milk,general moisturizer,India,"['Water' 'Glycerin' 'Cocos Nucifera Oil' 'Polyacrylate-13' 'Polyisobutene'
 'Polysorbate 20' 'Octyldodecanol' 'Octyldodecyl Xyloside'
 'Peg-30 Dipolyhydroxystearate' 'C15-19 Alkane' 'Isononyl Isononanoate'
 'Phenoxyethanol' 'Ethylhexylglycerin' 'Octenidine Hcl' 'Caffeine'
 'Theobroma Cacao Extract' 'Butyrospermum Parkii Butter' 'Phospholipids'
 'Sphingolipids' 'Xylitylglucoside' 'Anhydroxylitol' 'Xylitol'
 'Prunus Amygdalus Dulcis Oil' 'Caramel' 'Parfum']",25,['acne_trigger'],[],['acne_trigger'],[],0,1,0,True,False,True,False,False,False,False,False,False,False,False,True,"['Caffeine', 'Theobroma Cacao Extract', 'Butyrospermum Parkii Butter', 'Phospholipids']","['Glycerin', 'Ethylhexylglycerin', 'Phospholipids', 'Xylitylglucoside', 'Anhydroxylitol', 'Xylitol']","['Octyldodecanol', 'C15-19 Alkane', 'Isononyl Isononanoate', 'Butyrospermum Parkii Butter', 'Phospholipids', 'Sphingolipids']",['Octyldodecanol'],[],[],[],"['Caffeine', 'Theobroma Cacao Extract', 'Butyrospermum Parkii Butter', 'Anhydroxylitol']",[],['Polyisobutene'],"['Glycerin', 'Polyisobutene', 'Octyldodecanol', 'Xylitol']",['Parfum'],['Parfum'],[]
HEMA,L.A.B. Day Cream Cell Renewal with SPF 15,day moisturizer,Netherlands,"['Water' 'Ethylhexyl Salicylate' 'Dicaprylyl Carbonate'
 'Diisopropyl Sebacate' 'Glycerin' 'Cetyl Alcohol' 'Glyceryl Stearate'
 'Butyl Methoxydibenzoylmethane' 'Sucrose Polystearate' 'Butylene Glycol'
 'Phenylbenzimidazole Sulfonic Acid' 'Cetearyl Alcohol'
 'Oryza Sativa Starch' 'Caffeine'
 'Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine' 'Ethylhexyl Triazone'
 'Moringa Oleifera Seed Oil' 'Sodium Stearoyl Glutamate' 'Lecithin'
 'Haematococcus Pluvialis Extract' 'Sclerotium Gum' 'Tocopherol'
 'Acetyl Hexapeptide-8' 'Squalane' 'Beta-Sitosterol' '2-Hexanediol'
 'Sodium Hydroxide' 'Citric Acid' 'Caprylyl Glycol' 'Phytic Acid'
 'Tetrasodium EDTA' 'Parfum' 'Hexyl Cinnamal' 'Benzyl Salicylate'
 'Hydroxyacetophenone']",35,"['reduces_large_pores' 'anti_aging' 'scar_healing' 'brightening' 'drying'
 'acne_trigger' 'irritating' 'rosacea']",['reduces_large_pores' 'anti_aging' 'scar_healing' 'brightening'],['drying' 'acne_trigger' 'irritating'],['rosacea'],4,3,1,True,False,True,False,False,False,False,True,False,False,True,True,"['Caffeine', 'Moringa Oleifera Seed Oil', 'Haematococcus Pluvialis Extract', 'Tocopherol', 'Squalane', 'Hydroxyacetophenone']","['Glycerin', 'Butylene Glycol', 'Acetyl Hexapeptide-8', 'Phytic Acid', 'Hydroxyacetophenone']","['Dicaprylyl Carbonate', 'Diisopropyl Sebacate', 'Cetyl Alcohol', 'Glyceryl Stearate', 'Cetearyl Alcohol', 'Moringa Oleifera Seed Oil', 'Lecithin', 'Squalane', 'Beta-Sitosterol']",[],['Acetyl Hexapeptide-8'],[],['Phytic Acid'],"['Caffeine', 'Moringa Oleifera Seed Oil', 'Haematococcus Pluvialis Extract', 'Beta-Sitosterol', 'Caprylyl Glycol']",[],['Diisopropyl Sebacate'],"['Glycerin', 'Cetyl Alcohol', 'Butylene Glycol', 'Cetearyl Alcohol', 'Sclerotium Gum']","['Parfum', 'Hexyl Cinnamal', 'Benzyl Salicylate']","['Parfum', 'Hexyl Cinnamal', 'Benzyl Salicylate']",[]
Mizon,Pore Fresh Mild Acid Gel Cleanser,face cleanser,South Korea,"['Water' 'Lauryl Hydroxysultaine' 'Acrylates Copolymer' 'Sodium Chloride'
 'Sodium Methyl Cocoyl Taurate' 'Disodium Cocoamphodiacetate'
 'Potassium Cocoyl Glycinate' 'Potassium Cocoate' 'Dipropylene Glycol'
 'Hydroxyacetophenone' 'Caprylyl Glycol' 'Rosmarinus Officinalis Leaf Oil'
 'Houttuynia Cordata Powder' 'Hexylene Glycol' 'Ethylhexylglycerin'
 'Disodium EDTA' 'Dipotassium Glycyrrhizate' 'Tocopherol']",18,['brightening' 'drying' 'acne_trigger'],['brightening'],['drying' 'acne_trigger'],[],1,2,0,True,False,True,False,False,False,False,False,False,False,False,True,"['Hydroxyacetophenone', 'Dipotassium Glycyrrhizate', 'Tocopherol']","['Hydroxyacetophenone', 'Ethylhexylglycerin']",['Acrylates Copolymer'],[],[],[],[],"['Caprylyl Glycol', 'Rosmarinus Officinalis Leaf Oil', 'Dipotassium Glycyrrhizate']",[],['Acrylates Copolymer'],"['Acrylates Copolymer', 'Sodium Chloride', 'Dipropylene Glycol', 'Hexylene Glycol']",['Rosmarinus Officinalis Leaf Oil'],['Rosmarinus Officinalis Leaf Oil'],[]
Babor,Ampoule Concentrates Perfect Glow,serum,United Kingdom,"['Water' 'Betaine' 'Polyglyceryl-5 Laurate' 'Phenoxyethanol'
 'Butylene Glycol' 'Glycerin' 'Carbomer' 'Parfum' 'Lecithin'
 'Ethylhexylglycerin' 'Synthetic Fluorphlogopite' 'Disodium EDTA' 'Mica'
 'Sodium Hydroxide' 'Biosaccharide Gum-1' 'Theobroma Cacao Seed Extract'
 'Limonene' 'Benzyl Alcohol' 'Tin Oxide' 'Alumina'
 'Hexanoyl Dipeptide-3 Norleucine Acetate' 'Ci 77891' 'Ci 77491']",23,['eczema'],[],[],['eczema'],0,0,1,True,False,True,False,False,False,False,False,False,False,True,True,['Theobroma Cacao Seed Extract'],"['Betaine', 'Butylene Glycol', 'Glycerin', 'Ethylhexylglycerin', 'Biosaccharide Gum-1']",['Lecithin'],"['Mica', 'Tin Oxide']",['Hexanoyl Dipeptide-3 Norleucine Acetate'],[],['Hexanoyl Dipeptide-3 Norleucine Acetate'],"['Theobroma Cacao Seed Extract', 'Limonene']",['Alumina'],['Biosaccharide Gum-1'],"['Butylene Glycol', 'Glycerin', 'Carbomer', 'Synthetic Fluorphlogopite', 'Mica', 'Biosaccharide Gum-1', 'Benzyl Alcohol', 'Alumina']","['Parfum', 'Limonene']","['Parfum', 'Limonene']",[]
Hada Labo,Gokujyun Pearl Barley Face Wash,face cleanser,Japan,"['Water' 'Lauric Acid' 'Sorbitol' 'Peg-75' 'Myristic Acid'
 'Potassium Hydroxide' 'Cocamide Dea' 'Decyl Glucoside' 'Butylene Glycol'
 'Glycyrrhizic Acid' 'Caproic Acid' 'Yokuinin' 'Eel Extract'
 'Chamomilla Recutita Flower' 'Hyaluronic Acid' 'Squalane' 'Camphor'
 'Glycerin' 'Pelargonium Roseum Leaf Oil' 'Palmitic Acid'
 'Menthoxypropanediol' 'Peg-80 Sorbitan Laurate' 'Steareth-20'
 'Sodium Bicarbonate' 'Polyquaternium-39' 'EDTA' 'Alcohol Denat.'
 'Iodopropynyl Butylcarbamate' 'Phenoxyethanol']",29,"['hydrating' 'good_for_oily_skin' 'reduces_irritation' 'skin_texture'
 'anti_aging' 'scar_healing' 'brightening' 'may_worsen_oily_skin'
 'acne_trigger' 'irritating' 'rosacea' 'eczema']","['hydrating' 'good_for_oily_skin' 'reduces_irritation' 'skin_texture'
 'anti_aging' 'scar_healing' 'brightening']",['may_worsen_oily_skin' 'acne_trigger' 'irritating'],['rosacea' 'eczema'],7,3,2,True,True,True,False,True,False,False,False,False,False,False,True,"['Eel Extract', 'Hyaluronic Acid', 'Squalane']","['Lauric Acid', 'Sorbitol', 'PEG-75', 'Butylene Glycol', 'Hyaluronic Acid', 'Glycerin']",['Squalane'],"['Myristic Acid', 'Palmitic Acid']",[],[],[],"['Eel Extract', 'Camphor']",[],[],"['Sorbitol', 'Potassium Hydroxide', 'Butylene Glycol', 'Hyaluronic Acid', 'Glycerin']","['Camphor', 'Menthoxypropanediol']","['Camphor', 'Menthoxypropanediol', 'Alcohol Denat.']",['Alcohol Denat.']
Dr.Ceuracle,Tea tree Purifine 30 Cleansing Foam,face cleanser,South Korea,"['Water' 'Melaleuca Alternifolia Leaf Extract' 'Acrylates Copolymer'
 'Potassium Cocoyl Glycinate' 'Potassium Laureth Phosphate'
 'Sodium Cocoyl Alaninate' 'Cocamidopropyl Betaine' 'Butylene Glycol'
 'Sodium Chloride' 'Peg-90 Diisostearate' 'Sodium Benzoate'
 'Potassium Hydroxide' 'Citric Acid' 'Styrene/Acrylates Copolymer'
 'Peg-7 Glyceryl Cocoate' 'Hydroxypropyl Methylcellulose' 'Trehalose'
 'Guar Hydroxypropyltrimonium Chloride' 'Lavandula Angustifolia Oil'
 'Disodium EDTA' 'Melaleuca Alternifolia Leaf Oil'
 'Morus Alba Bark Extract' 'Hippophae Rhamnoides Fruit Extract'
 'Centella Asiatica Extract' 'Adansonia Digitata Leaf Extract'
 'Spirodela Polyrhiza Extract' 'Propylene Glycol' '2-Hexanediol'
 'Salix Nigra Bark Extract' 'Hamamelis Virginiana Water']",30,"['good_for_oily_skin' 'redness_reducing' 'reduces_large_pores' 'drying'
 'acne_trigger' 'irritating']",['good_for_oily_skin' 'redness_reducing' 'reduces_large_pores'],['drying' 'acne_trigger' 'irritating'],[],3,3,0,True,False,True,False,False,False,False,True,False,False,False,True,"['Melaleuca Alternifolia Leaf Extract', 'Morus Alba Bark Extract', 'Hippophae Rhamnoides Fruit Extract', 'Centella Asiatica Extract', 'Adansonia Digitata Leaf Extract', 'Spirodela Polyrhiza Extract', 'Salix Nigra Bark Extract']","['Butylene Glycol', 'Trehalose', 'Guar Hydroxypropyltrimonium Chloride', 'Propylene Glycol']","['Acrylates Copolymer', 'PEG-7 Glyceryl Cocoate']",[],[],[],[],"['Melaleuca Alternifolia Leaf Extract', 'Lavandula Angustifolia Oil', 'Melaleuca Alternifolia Leaf Oil', 'Morus Alba Bark Extract', 'Hippophae Rhamnoides Fruit Extract', 'Centella Asiatica Extract', 'Adansonia Digitata Leaf Extract', 'Spirodela Polyrhiza Extract', 'Salix Nigra Bark Extract']",[],"['Acrylates Copolymer', 'Hydroxypropyl Methylcellulose']","['Acrylates Copolymer', 'Cocamidopropyl Betaine', 'Butylene Glycol', 'Sodium Chloride', 'Potassium Hydroxide', 'Hydroxypropyl Methylcellulose', 'Guar Hydroxypropyltrimonium Chloride', 'Propylene Glycol']","['Lavandula Angustifolia Oil', 'Melaleuca Alternifolia Leaf Oil']","['Lavandula Angustifolia Oil', 'Melaleuca Alternifolia Leaf Oil']",[]
Abib,Mild Sunblock Protection Tube,sunscreen,South Korea,"['Water' 'Cyclomethicone' 'Ci 77231' 'Glycerin' 'Butyloctyl Salicylate'
 'Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone' 'Isododecane'
 'Ci 77891' 'Caprylyl Methicone' 'Isononyl Isononanoate' '2-Hexanediol'
 'Tribehenin' 'Chlorella Vulgaris Extract' 'Centella Asiatica Extract'
 'Chamomilla Recutita Flower Extract' 'Houttuynia Cordata Extract'
 'Aloe Ferox Leaf Extract' 'Disteardimonium Hectorite'
 'Polymethylsilsesquioxane' 'Sorbitan Sesquioleate' 'Magnesium Sulfate'
 'Triethoxycaprylylsilane' 'Ceresin' 'Aluminum Hydroxide' 'Glucose'
 'Butylene Glycol' 'Stearic Acid' 'Fructooligosaccharides' 'Fructose'
 'Propylene Carbonate' 'Ethylhexylglycerin' 'Glyceryl Caprylate'
 'Panthenol']",33,"['redness_reducing' 'reduces_irritation' 'may_worsen_oily_skin'
 'acne_trigger']",['redness_reducing' 'reduces_irritation'],['may_worsen_oily_skin' 'acne_trigger'],[],2,2,0,False,False,False,False,False,False,False,False,False,False,False,True,"['Chlorella Vulgaris Extract', 'Centella Asiatica Extract', 'Chamomilla Recutita Flower Extract', 'Houttuynia Cordata Extract', 'Aloe Ferox Leaf Extract']","['Glycerin', 'Tribehenin', 'Glucose', 'Butylene Glycol', 'Fructooligosaccharides', 'Fructose', 'Ethylhexylglycerin', 'Panthenol']","['Cyclomethicone', 'Butyloctyl Salicylate', 'Caprylyl Methicone', 'Isononyl Isononanoate', 'Stearic Acid', 'Glyceryl Caprylate']",['Tribehenin'],[],[],[],"['Chlorella Vulgaris Extract', 'Centella Asiatica Extract', 'Chamomilla Recutita Flower Extract', 'Houttuynia Cordata Extract', 'Aloe Ferox Leaf Extract']",['Aluminum Hydroxide'],['Polymethylsilsesquioxane'],"['Glycerin', 'Sorbitan Sesquioleate', 'Magnesium Sulfate', 'Triethoxycaprylylsilane', 'Ceresin', 'Aluminum Hydroxide', 'Butylene Glycol', 'Stearic Acid', 'Propylene Carbonate']",[],[],[]
Yuni Beauty,Active Calm Firming Facial Moisturizer,general moisturizer,United States,"['Water' 'Caprylic/Capric Triglyceride' 'Glycerin'
 'Aloe Barbadensis Leaf Juice' 'Glyceryl Stearate' 'Cetearyl Olivate'
 'Hydroxystearyl Alcohol' 'Hydroxystearyl Glucoside' 'Dimethicone'
 'Sorbitan Olivate' 'Cetearyl Alcohol' 'Cocos Nucifera Oil'
 'Butyrospermum Parkii Oil' 'Leontopodium Alpinum Meristem Cell Culture'
 'Mauritia Flexuosa Fruit Oil' 'Camellia Sinensis Leaf Extract'
 'Curcuma Longa Root Extract' 'Lavandula Angustifolia Flower Extract'
 'Cetearyl Glucoside' 'Xylitol' 'Hydrogenated Lecithin'
 'Hydrolyzed Vegetable Protein' 'Sodium Hyaluronate' 'Beta-Glucan'
 'Panthenol' 'Allantoin' 'Maltodextrin' 'Xanthan Gum' 'Parfum'
 'Gluconolactone' 'Potassium Sorbate' 'Sodium Benzoate' 'Benzyl Benzoate'
 'Limonene' 'Geraniol' 'Methylcinnamic Aldehyde' 'Linalool']",37,['reduces_irritation' 'acne_trigger'],['reduces_irritation'],['acne_trigger'],[],1,1,0,True,False,True,False,True,False,False,False,False,False,False,True,"['Aloe Barbadensis Leaf Juice', 'Mauritia Flexuosa Fruit Oil', 'Camellia Sinensis Leaf Extract', 'Curcuma Longa Root Extract', 'Lavandula Angustifolia Flower Extract', 'Sodium Hyaluronate', 'Beta-Glucan']","['Glycerin', 'Aloe Barbadensis Leaf Juice', 'Xylitol', 'Hydrolyzed Vegetable Protein', 'Sodium Hyaluronate', 'Panthenol', 'Maltodextrin']","['Caprylic/Capric Triglyceride', 'Glyceryl Stearate', 'Dimethicone', 'Cetearyl Alcohol', 'Mauritia Flexuosa Fruit Oil', 'Hydrogenated Lecithin']",[],[],[],['Gluconolactone'],"['Caprylic/Capric Triglyceride', 'Aloe Barbadensis Leaf Juice', 'Mauritia Flexuosa Fruit Oil', 'Camellia Sinensis Leaf Extract', 'Curcuma Longa Root Extract', 'Lavandula Angustifolia Flower Extract', 'Hydrolyzed Vegetable Protein', 'Beta-Glucan', 'Allantoin', 'Benzyl Benzoate', 'Limonene', 'Linalool']",['Maltodextrin'],['Maltodextrin'],"['Caprylic/Capric Triglyceride', 'Glycerin', 'Cetearyl Olivate', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Xylitol', 'Beta-Glucan', 'Xanthan Gum']","['Parfum', 'Benzyl Benzoate', 'Limonene', 'Geraniol', 'Linalool']","['Parfum', 'Limonene', 'Geraniol', 'Linalool']",[]
VZK,Prebiotic Face Cream for Oily and Combination Skin,general moisturizer,Serbia,"['Water' 'Isononyl Isononanoate' 'Dicaprylyl Carbonate' 'Glycerin'
 'Biosaccharide Gum-1' 'Macadamia Integrifolia Seed Oil'
 'Cetearyl Alcohol' 'C10-18 Triglycerides' 'Arachidyl Alcohol'
 'Ammonium Acryloyldimethyltaurate Crosspolymer' 'Tocopheryl Acetate'
 'Alpha-Glucan Oligosaccharide' 'Beheneth-25' 'Phenoxyethanol'
 'Behenyl Alcohol' 'Arachidyl Glucoside' 'Dimethicone'
 'Ethylhexylglycerin' 'Tocopherol' 'Disodium EDTA' 'Glycine Soja Oil'
 'Parfum']",22,['anti_aging' 'scar_healing' 'brightening' 'acne_trigger' 'irritating'],['anti_aging' 'scar_healing' 'brightening'],['acne_trigger' 'irritating'],[],3,2,0,True,False,True,False,False,False,False,False,False,False,False,True,"['Tocopheryl Acetate', 'Alpha-Glucan Oligosaccharide', 'Tocopherol', 'Glycine Soja Oil']","['Glycerin', 'Biosaccharide Gum-1', 'Ethylhexylglycerin']","['Isononyl Isononanoate', 'Dicaprylyl Carbonate', 'Macadamia Integrifolia Seed Oil', 'Cetearyl Alcohol', 'Arachidyl Alcohol', 'Alpha-Glucan Oligosaccharide', 'Dimethicone', 'Glycine Soja Oil']",[],[],[],[],"['Macadamia Integrifolia Seed Oil', 'Alpha-Glucan Oligosaccharide', 'Glycine Soja Oil']",[],['Biosaccharide Gum-1'],"['Glycerin', 'Biosaccharide Gum-1', 'Cetearyl Alcohol', 'Arachidyl Alcohol', 'Behenyl Alcohol']",['Parfum'],['Parfum'],[]
Bueno,MGF Peptide Wrinkle Cream Plus,general moisturizer,South Korea,"['Water' 'Glycerin' 'Limnanthes Alba Seed Oil' 'Methylpropanediol'
 'Hydrogenated Polydecene' 'Hydrogenated Polyisobutene'
 'Butylene Glycol Dicaprylate/Dicaprate'
 'Polyglyceryl-3 Methylglucose Distearate' 'Diisostearyl Malate'
 'Cetearyl Alcohol' 'Caprylic Acid' 'Butyrospermum Parkii Butter'
 'Cyclopentasiloxane' 'Nicotinoyl Hexapeptide-44' 'Sh-Oligopeptide-1'
 'Sh-Polypeptide-16' 'Sh-Polypeptide-4'
 'Solanum Lycopersicum Callus Culture Extract' 'Lecithin' 'Adenosine'
 'Tocopheryl Acetate' 'Vitis Vinifera Seed Extract'
 'Aronia Arbutifolia Extract' 'Centella Asiatica Extract'
 'Sodium Hyaluronate' 'Cyclohexasiloxane' 'Glyceryl Caprylate'
 'Butylene Glycol' 'Dimethicone' 'Tromethamine' 'Disodium EDTA'
 'Ethylhexylglycerin' 'Beeswax' 'Xanthan Gum' 'Carbomer' 'Polysorbate 20'
 'Glucose' 'Cetearyl Glucoside' 'Ethyl Hexanediol' '2-Hexanediol' 'Parfum']",41,['redness_reducing' 'brightening' 'may_worsen_oily_skin' 'acne_trigger'],['redness_reducing' 'brightening'],['may_worsen_oily_skin' 'acne_trigger'],[],2,2,0,True,False,True,False,True,False,False,False,False,False,False,True,"['Butyrospermum Parkii Butter', 'Solanum Lycopersicum Callus Culture Extract', 'Tocopheryl Acetate', 'Vitis Vinifera Seed Extract', 'Aronia Arbutifolia Extract', 'Centella Asiatica Extract', 'Sodium Hyaluronate']","['Glycerin', 'Methylpropanediol', 'Sodium Hyaluronate', 'Butylene Glycol', 'Ethylhexylglycerin', 'Glucose']","['Limnanthes Alba Seed Oil', 'Hydrogenated Polydecene', 'Hydrogenated Polyisobutene', 'Diisostearyl Malate', 'Cetearyl Alcohol', 'Caprylic Acid', 'Butyrospermum Parkii Butter', 'Cyclopentasiloxane', 'Lecithin', 'Cyclohexasiloxane', 'Glyceryl Caprylate', 'Dimethicone', 'Beeswax']",['Limnanthes Alba Seed Oil'],[],[],[],"['Limnanthes Alba Seed Oil', 'Butyrospermum Parkii Butter', 'Solanum Lycopersicum Callus Culture Extract', 'Adenosine', 'Vitis Vinifera Seed Extract', 'Aronia Arbutifolia Extract', 'Centella Asiatica Extract']",[],[],"['Glycerin', 'Hydrogenated Polyisobutene', 'Cetearyl Alcohol', 'Caprylic Acid', 'Butylene Glycol', 'Beeswax', 'Xanthan Gum', 'Carbomer', 'Cetearyl Glucoside']","['Ethyl Hexanediol', 'Parfum']",['Parfum'],[]
Peter Thomas Roth,FIRMx Collagen Serum,serum,United States,"['Collagen' 'Water' 'Dimethicone' 'Butylene Glycol' 'Polysilicone-11'
 'Glycerin' 'Caffeine' 'Squalane' 'Soluble Collagen'
 'Collagen Amino Acids' 'Hydrolyzed Collagen'
 'Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine'
 'Palmitoyl Tripeptide-5' 'Acetyl Tetrapeptide-2' 'Sodium Hyaluronate'
 'Hydroxyproline' 'Sodium Citrate' 'Citric Acid'
 'Acrylamide/Sodium Acryloyldimethyltaurate Copolymer'
 'Ammonium Acryloyldimethyltaurate Crosspolymer' 'Hydroxystearic Acid'
 'Magnesium Chloride' 'Polysorbate 20' 'Polysorbate 80' 'Sodium Hydroxide'
 'Sorbitan Isostearate' 'Decyl Glucoside' 'Lauryl Glucoside'
 'Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate'
 'Leuconostoc/Radish Root Ferment Filtrate' 'Disodium EDTA'
 'Potassium Sorbate' 'Sodium Benzoate' 'Isohexadecane'
 'Ethylhexylglycerin' 'Hexylene Glycol' 'Caprylyl Glycol' 'Phenoxyethanol'
 'Ci 77015']",39,['reduces_large_pores' 'anti_aging' 'drying' 'irritating'],['reduces_large_pores' 'anti_aging'],['drying' 'irritating'],[],2,2,0,False,False,False,False,True,False,False,True,False,False,True,True,"['Caffeine', 'Squalane', 'Sodium Hyaluronate', 'Sodium Citrate']","['Collagen', 'Butylene Glycol', 'Glycerin', 'Soluble Collagen', 'Collagen Amino Acids', 'Hydrolyzed Collagen', 'Sodium Hyaluronate', 'Hydroxyproline', 'Ethylhexylglycerin']","['Dimethicone', 'Squalane', 'Hydroxystearic Acid']",[],"['Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine', 'Palmitoyl Tripeptide-5', 'Acetyl Tetrapeptide-2']",[],[],"['Caffeine', 'Leuconostoc/Radish Root Ferment Filtrate', 'Caprylyl Glycol']",[],[],"['Butylene Glycol', 'Polysilicone-11', 'Glycerin', 'Hydroxystearic Acid', 'Magnesium Chloride', 'Isohexadecane', 'Hexylene Glycol']",[],[],[]
The Creme Shop,Melt Away: Age-Defying,face cleanser,United States,"['Paraffinum Liquidum' 'Water' 'Peg-20 Glyceryl Triisostearate'
 'Polyethylene' 'Cetyl Ethylhexanoate' 'Isopropyl Myristate' 'Glycerin'
 'Caprylic Acid' 'Butyrospermum Parkii Butter' 'Polysorbate 60'
 'Phenoxyethanol' 'Camellia Japonica Seed Oil' 'Panthenol' 'Adenosine'
 'Hydrolyzed Collagen' 'Ethylhexylglycerin' 'Parfum']",17,['reduces_irritation' 'anti_aging' 'may_worsen_oily_skin' 'acne_trigger'],['reduces_irritation' 'anti_aging'],['may_worsen_oily_skin' 'acne_trigger'],[],2,2,0,True,False,True,False,False,False,False,False,False,False,False,True,"['Butyrospermum Parkii Butter', 'Camellia Japonica Seed Oil']","['Glycerin', 'Panthenol', 'Hydrolyzed Collagen', 'Ethylhexylglycerin']","['Paraffinum Liquidum', 'PEG-20 Glyceryl Triisostearate', 'Cetyl Ethylhexanoate', 'Isopropyl Myristate', 'Caprylic Acid', 'Butyrospermum Parkii Butter']",[],[],[],[],"['Butyrospermum Parkii Butter', 'Camellia Japonica Seed Oil', 'Adenosine']",[],['Polyethylene'],"['Polyethylene', 'Cetyl Ethylhexanoate', 'Isopropyl Myristate', 'Glycerin', 'Caprylic Acid']",['Parfum'],['Parfum'],[]
Sioris,Calm Me Down Cream,general moisturizer,South Korea,"['Schisandra Chinensis Fruit Extract' 'Water' 'Pentylene Glycol'
 'Glycerin' 'Caprylic/Capric Triglyceride' 'Butylene Glycol'
 'Cetearyl Alcohol' 'Oenothera Biennis Oil' 'Olea Europaea Fruit Oil'
 'Helianthus Annuus Seed Oil' 'Glyceryl Stearate' 'Cetearyl Olivate'
 'Squalane' 'Sorbitan Olivate' 'Hydrogenated Olive Oil'
 'Butyrospermum Parkii Butter' 'Calendula Officinalis Flower Extract'
 'Cetyl Palmitate' 'Sorbitan Palmitate' 'Xanthan Gum' 'Arginine'
 'Olea Europaea Oil Unsaponifiables' 'Rosmarinus Officinalis Leaf Extract'
 'Lavandula Angustifolia Oil' 'Sclerotium Gum' 'Artemisia Annua Extract'
 'Azadirachta Indica Leaf Extract' 'Camellia Sinensis Leaf Extract'
 'Sodium Phytate' 'Ceramide NP' 'Phytosphingosine'
 'Lithospermum Erythrorhizon Root Extract' 'Linalool']",33,['reduces_irritation' 'acne_trigger'],['reduces_irritation'],['acne_trigger'],[],1,1,0,True,False,True,False,False,False,True,False,False,False,False,True,"['Schisandra Chinensis Fruit Extract', 'Oenothera Biennis Oil', 'Olea Europaea Fruit Oil', 'Helianthus Annuus Seed Oil', 'Squalane', 'Hydrogenated Olive Oil', 'Butyrospermum Parkii Butter', 'Calendula Officinalis Flower Extract', 'Arginine', 'Olea Europaea Oil Unsaponifiables', 'Rosmarinus Officinalis Leaf Extract', 'Artemisia Annua Extract', 'Azadirachta Indica Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Lithospermum Erythrorhizon Root Extract']","['Pentylene Glycol', 'Glycerin', 'Butylene Glycol', 'Arginine', 'Artemisia Annua Extract']","['Caprylic/Capric Triglyceride', 'Cetearyl Alcohol', 'Oenothera Biennis Oil', 'Olea Europaea Fruit Oil', 'Helianthus Annuus Seed Oil', 'Glyceryl Stearate', 'Squalane', 'Hydrogenated Olive Oil', 'Butyrospermum Parkii Butter', 'Cetyl Palmitate', 'Olea Europaea Oil Unsaponifiables', 'Ceramide NP', 'Phytosphingosine']",[],[],[],[],"['Schisandra Chinensis Fruit Extract', 'Caprylic/Capric Triglyceride', 'Oenothera Biennis Oil', 'Olea Europaea Fruit Oil', 'Helianthus Annuus Seed Oil', 'Hydrogenated Olive Oil', 'Butyrospermum Parkii Butter', 'Calendula Officinalis Flower Extract', 'Olea Europaea Oil Unsaponifiables', 'Rosmarinus Officinalis Leaf Extract', 'Lavandula Angustifolia Oil', 'Artemisia Annua Extract', 'Azadirachta Indica Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Lithospermum Erythrorhizon Root Extract', 'Linalool']",[],[],"['Glycerin', 'Caprylic/Capric Triglyceride', 'Butylene Glycol', 'Cetearyl Alcohol', 'Cetearyl Olivate', 'Cetyl Palmitate', 'Xanthan Gum', 'Sclerotium Gum']","['Lavandula Angustifolia Oil', 'Linalool']","['Lavandula Angustifolia Oil', 'Linalool']",[]
